Tipe,Baris Excel,Kode AHSP,Nama AHSP,Kategori,Kode Item,Uraian Item,Satuan,Koefisien,Duplikat dari Baris,Alasan
DUPLIKAT,677,2.1.2.6,"Pemasangan 1 m2  Rangka Atap Sirap, Kayu Kelas II",TK,TK-0001,Mandor,OH,0.004,676,Sama persis dengan baris 676 (kategori + kode_item + uraian + satuan)
DUPLIKAT,680,2.1.2.6,"Pemasangan 1 m2  Rangka Atap Sirap, Kayu Kelas II",TK,TK-0002,Kepala Tukang,OH,0.012,675,Sama persis dengan baris 675 (kategori + kode_item + uraian + satuan)
DUPLIKAT,682,2.1.2.6,"Pemasangan 1 m2  Rangka Atap Sirap, Kayu Kelas II",TK,TK-0005,Pekerja,OH,0.12,678,Sama persis dengan baris 678 (kategori + kode_item + uraian + satuan)
DUPLIKAT,699,2.2.1.1.1,"1 kg Penulangan slab untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.0007,694,Sama persis dengan baris 694 (kategori + kode_item + uraian + satuan)
DUPLIKAT,700,2.2.1.1.1,"1 kg Penulangan slab untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.0007,695,Sama persis dengan baris 695 (kategori + kode_item + uraian + satuan)
DUPLIKAT,702,2.2.1.1.1,"1 kg Penulangan slab untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.007,701,Sama persis dengan baris 701 (kategori + kode_item + uraian + satuan)
DUPLIKAT,703,2.2.1.1.1,"1 kg Penulangan slab untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0021,Tukang besi/besi beton,OH,0.007,698,Sama persis dengan baris 698 (kategori + kode_item + uraian + satuan)
DUPLIKAT,705,2.2.1.1.1,"1 kg Penulangan slab untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.015,704,Sama persis dengan baris 704 (kategori + kode_item + uraian + satuan)
DUPLIKAT,710,2.2.1.1.2,"1 kg Penulangan slab untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.00016,708,Sama persis dengan baris 708 (kategori + kode_item + uraian + satuan)
DUPLIKAT,711,2.2.1.1.2,"1 kg Penulangan slab untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.00016,709,Sama persis dengan baris 709 (kategori + kode_item + uraian + satuan)
